sampler,step_mult,vanilla_target_type,vanilla_target_fid,anm_min_nfe_to_match,anm_condition_used,matched
gd,0.5,vanilla_250_default,45.7159691227709,250,anm_gd_nfe250_step0.5,True
gd,1.0,vanilla_250_default,45.7159691227709,250,anm_gd_nfe250_step1.0,True
gd,1.5,vanilla_250_default,45.7159691227709,100,anm_gd_nfe100_step1.5,True
gd,2.0,vanilla_250_default,45.7159691227709,100,anm_gd_nfe100_step2.0,True
gd,0.5,vanilla_best_grid,45.7159691227709,250,anm_gd_nfe250_step0.5,True
gd,1.0,vanilla_best_grid,45.7159691227709,250,anm_gd_nfe250_step1.0,True
gd,1.5,vanilla_best_grid,45.7159691227709,100,anm_gd_nfe100_step1.5,True
gd,2.0,vanilla_best_grid,45.7159691227709,100,anm_gd_nfe100_step2.0,True
ngd,0.5,vanilla_250_default,45.44642489544776,250,anm_ngd_nfe250_step0.5,True
ngd,1.0,vanilla_250_default,45.44642489544776,250,anm_ngd_nfe250_step1.0,True
ngd,1.5,vanilla_250_default,45.44642489544776,100,anm_ngd_nfe100_step1.5,True
ngd,2.0,vanilla_250_default,45.44642489544776,100,anm_ngd_nfe100_step2.0,True
ngd,0.5,vanilla_best_grid,45.44642489544776,250,anm_ngd_nfe250_step0.5,True
ngd,1.0,vanilla_best_grid,45.44642489544776,250,anm_ngd_nfe250_step1.0,True
ngd,1.5,vanilla_best_grid,45.44642489544776,100,anm_ngd_nfe100_step1.5,True
ngd,2.0,vanilla_best_grid,45.44642489544776,100,anm_ngd_nfe100_step2.0,True
