run_id,checkpoint_type,checkpoint_path,checkpoint_sha,model_arch,dataset,resolution,sampler,nfe,step_mult,base_step_size,step_size,nag_mu,num_samples,batch_size,seed_schedule_id,label_schedule_id,init_noise_schedule_id,ema_enabled,cfg_scale,vae_id,reference_stats_path,fid,fid_ci_low,fid_ci_high,kid_mean,kid_std,kid_ci_low,kid_ci_high,sfid,inception_score_mean,inception_score_std,wall_clock_sec,images_per_sec,nfe_field,nfe_raw_forward,nan_count,divergence_count,clip_fraction,mean_init_latent_norm,mean_final_latent_norm,std_final_latent_norm,mean_first_grad_norm,mean_final_grad_norm,feature_path,sample_path,num_gpus,precision,git_commit,timestamp,notes
vanilla_gd_nfe10_step0.5,vanilla,,,EqM-B/2,imagenet1k,256,gd,10,0.5,0.003,0.0015,,5000,,,,,,,,,360.18142347141253,,,0.41927478039911337,,,,,,,284,,9,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe10_step1.0,vanilla,,,EqM-B/2,imagenet1k,256,gd,10,1.0,0.003,0.003,,5000,,,,,,,,,358.3091681853882,,,0.41545048548202546,,,,,,,197,,9,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe10_step1.5,vanilla,,,EqM-B/2,imagenet1k,256,gd,10,1.5,0.003,0.0045,,5000,,,,,,,,,363.7592708059793,,,0.4262920514959192,,,,,,,191,,9,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe10_step2.0,vanilla,,,EqM-B/2,imagenet1k,256,gd,10,2.0,0.003,0.006,,5000,,,,,,,,,382.03040440558436,,,0.4625640171113307,,,,,,,191,,9,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe25_step0.5,vanilla,,,EqM-B/2,imagenet1k,256,gd,25,0.5,0.003,0.0015,,5000,,,,,,,,,360.20645068424346,,,0.41928456476040443,,,,,,,250,,24,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe25_step1.0,vanilla,,,EqM-B/2,imagenet1k,256,gd,25,1.0,0.003,0.003,,5000,,,,,,,,,391.80847899591777,,,0.48453807963521867,,,,,,,250,,24,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe25_step1.5,vanilla,,,EqM-B/2,imagenet1k,256,gd,25,1.5,0.003,0.0045,,5000,,,,,,,,,325.9062199454016,,,0.38370437786398504,,,,,,,254,,24,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe25_step2.0,vanilla,,,EqM-B/2,imagenet1k,256,gd,25,2.0,0.003,0.006,,5000,,,,,,,,,236.3675478024763,,,0.25666789514893623,,,,,,,265,,24,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe50_step0.5,vanilla,,,EqM-B/2,imagenet1k,256,gd,50,0.5,0.003,0.0015,,5000,,,,,,,,,389.8806795043348,,,0.48068607678771996,,,,,,,350,,49,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
vanilla_gd_nfe50_step1.0,vanilla,,,EqM-B/2,imagenet1k,256,gd,50,1.0,0.003,0.003,,5000,,,,,,,,,222.81049024425053,,,0.2364398170205905,,,,,,,367,,49,,,,,,,,,,,,,,,,RECOVERED_from_job.log_17828606;UNRELIABLE_small_n
