regime,tau_norm,score,raw_auroc,within_norm_auroc,n_bins_used,n_total,orientation,desc
fixed,,s1,0.5107,0.5920,5,359,-1,"dot energy  -<f,x>  (de-confoundable)"
fixed,,s2,0.5200,0.5398,5,359,-1,l2 energy  0.5||f||^2  (norm-coupled)
fixed,,s3,0.5375,0.5526,5,359,1,"path integral  sum<f,dx>  (de-confoundable)"
fixed,,s4,0.5834,0.6206,5,359,1,latent NN dist  (no f; label sanity)
fixed,,s5,0.5200,0.5398,5,359,-1,post-step residual ||f||  (norm-coupled)
fixed,,s6,0.5424,0.5608,5,359,1,traj mean norm  (dynamics; norm-coupled)
fixed,,s7,0.5505,0.5399,5,359,-1,log-norm decay slope  (dynamics; de-confoundable)
fixed,,s8,0.6143,0.6225,5,359,1,norm oscillation  (dynamics; de-confoundable)
fixed,,s9,0.5105,0.5387,5,359,1,late-stage slope  (dynamics; de-confoundable)
threshold,5.0,s1,0.5120,0.5954,5,359,-1,"dot energy  -<f,x>  (de-confoundable)"
threshold,5.0,s2,0.5179,0.5497,5,359,-1,l2 energy  0.5||f||^2  (norm-coupled)
threshold,5.0,s3,0.5376,0.5524,5,359,1,"path integral  sum<f,dx>  (de-confoundable)"
threshold,5.0,s4,0.5834,0.6206,5,359,1,latent NN dist  (no f; label sanity)
threshold,5.0,s5,0.5186,0.5464,5,359,-1,post-step residual ||f||  (norm-coupled)
threshold,5.0,s6,0.5513,0.5586,5,359,1,traj mean norm  (dynamics; norm-coupled)
threshold,5.0,s7,0.5462,0.5446,5,359,-1,log-norm decay slope  (dynamics; de-confoundable)
threshold,5.0,s8,0.6215,0.6219,5,359,1,norm oscillation  (dynamics; de-confoundable)
threshold,5.0,s9,0.5049,0.5364,5,359,-1,late-stage slope  (dynamics; de-confoundable)
threshold,10.0,s1,0.5406,0.5605,5,359,-1,"dot energy  -<f,x>  (de-confoundable)"
threshold,10.0,s2,0.5301,0.5546,5,359,-1,l2 energy  0.5||f||^2  (norm-coupled)
threshold,10.0,s3,0.5375,0.5715,5,359,1,"path integral  sum<f,dx>  (de-confoundable)"
threshold,10.0,s4,0.5834,0.5884,5,359,1,latent NN dist  (no f; label sanity)
threshold,10.0,s5,0.5371,0.5518,5,359,-1,post-step residual ||f||  (norm-coupled)
threshold,10.0,s6,0.5495,0.5614,5,359,1,traj mean norm  (dynamics; norm-coupled)
threshold,10.0,s7,0.5185,0.5650,5,359,1,log-norm decay slope  (dynamics; de-confoundable)
threshold,10.0,s8,0.6203,0.6230,5,359,1,norm oscillation  (dynamics; de-confoundable)
threshold,10.0,s9,0.5240,0.5660,5,359,-1,late-stage slope  (dynamics; de-confoundable)
threshold,20.0,s1,0.5368,0.5602,5,359,-1,"dot energy  -<f,x>  (de-confoundable)"
threshold,20.0,s2,0.5070,0.5644,5,359,-1,l2 energy  0.5||f||^2  (norm-coupled)
threshold,20.0,s3,0.5378,0.5919,5,359,1,"path integral  sum<f,dx>  (de-confoundable)"
threshold,20.0,s4,0.5834,0.5978,5,359,1,latent NN dist  (no f; label sanity)
threshold,20.0,s5,0.5268,0.5566,5,359,-1,post-step residual ||f||  (norm-coupled)
threshold,20.0,s6,0.5501,0.5927,5,359,1,traj mean norm  (dynamics; norm-coupled)
threshold,20.0,s7,0.6376,0.6378,5,359,1,log-norm decay slope  (dynamics; de-confoundable)
threshold,20.0,s8,0.6218,0.6191,5,359,1,norm oscillation  (dynamics; de-confoundable)
threshold,20.0,s9,0.5661,0.5692,5,359,-1,late-stage slope  (dynamics; de-confoundable)
