feature,coef,abs_coef
dot_ds0,0.9193,0.9193
norm_ds1,-0.9171,0.9171
dot_ds5,-0.8577,0.8577
norm_ds2,-0.8208,0.8208
late_norm_slope,-0.5542,0.5542
l2_ds3,0.5297,0.5297
norm_oscillation,0.5213,0.5213
early_norm_slope,0.5155,0.5155
l2_ds6,0.4921,0.4921
dot_ds10,0.4654,0.4654
norm_ds8,-0.4568,0.4568
l2_ds4,0.4552,0.4552
dot_change,0.4535,0.4535
norm_ds7,-0.4376,0.4376
dot_ds11,0.4347,0.4347
dot_ds9,0.4114,0.4114
l2_ds1,-0.4082,0.4082
l2_ds2,-0.3829,0.3829
dot_ds12,0.3813,0.3813
norm_ds4,0.3472,0.3472
final_norm,-0.3397,0.3397
dot_ds13,0.3383,0.3383
norm_ds15,-0.3367,0.3367
final_dot,0.3278,0.3278
dot_ds15,0.3204,0.3204
norm_drop_ratio,-0.3204,0.3204
dot_ds14,0.3191,0.3191
dot_ds4,-0.3175,0.3175
norm_ds3,0.3132,0.3132
norm_ds14,-0.3102,0.3102
norm_ds6,-0.2676,0.2676
norm_ds13,-0.2580,0.2580
dot_ds1,-0.2547,0.2547
dot_ds3,0.2510,0.2510
l2_ds5,0.2484,0.2484
dot_ds8,0.2375,0.2375
norm_auc,-0.2361,0.2361
l2_ds8,-0.2133,0.2133
norm_ds0,-0.2056,0.2056
norm_ds9,-0.2008,0.2008
l2_ds7,0.2003,0.2003
dot_ds6,-0.1825,0.1825
norm_ds12,-0.1760,0.1760
norm_ds5,-0.1544,0.1544
l2_change,0.1518,0.1518
dot_ds2,-0.1499,0.1499
l2_ds11,0.1338,0.1338
l2_ds10,0.1132,0.1132
dot_ds7,0.1128,0.1128
dot_auc,-0.1099,0.1099
l2_ds12,0.0978,0.0978
norm_ds11,-0.0974,0.0974
norm_ds10,-0.0780,0.0780
path_integral,0.0575,0.0575
l2_auc,0.0575,0.0575
final_l2,0.0559,0.0559
l2_ds13,0.0544,0.0544
l2_ds15,0.0423,0.0423
l2_ds14,0.0366,0.0366
l2_ds0,-0.0329,0.0329
l2_ds9,-0.0309,0.0309
