method,k_pct,enrichment,mean_nn_kept,n_rejected
s1,10,0.0079,15.8026,36
s1,20,0.0178,15.6847,72
s1,30,0.0106,15.7265,108
s1,40,0.0104,15.6900,144
s2,10,0.0079,15.8082,36
s2,20,0.0143,15.7774,72
s2,30,0.0106,15.8359,108
s2,40,0.0243,15.7392,144
s3,10,-0.0014,15.8132,36
s3,20,0.0109,15.7069,72
s3,30,0.0186,15.6410,108
s3,40,0.0336,15.5333,144
s5,10,0.0079,15.8082,36
s5,20,0.0143,15.7774,72
s5,30,0.0106,15.8359,108
s5,40,0.0243,15.7392,144
s6,10,0.0017,15.7936,36
s6,20,0.0074,15.7337,72
s6,30,0.0266,15.5971,108
s6,40,0.0290,15.5391,144
s7,10,-0.0014,15.8230,36
s7,20,0.0213,15.6842,72
s7,30,0.0106,15.6824,108
s7,40,0.0243,15.5401,144
s8,10,0.0234,15.6490,36
s8,20,0.0561,15.4345,72
s8,30,0.0585,15.3785,108
s8,40,0.0708,15.2506,144
s9,10,-0.0014,15.7996,36
s9,20,0.0004,15.7697,72
s9,30,0.0106,15.7391,108
s9,40,0.0197,15.6921,144
norm_only,10,0.0048,15.8362,36
norm_only,20,0.0004,15.8086,72
norm_only,30,-0.0053,15.8102,108
norm_only,40,-0.0129,15.8561,144
latent_nn_s4,10,0.0327,15.6071,36
latent_nn_s4,20,0.0352,15.5468,72
latent_nn_s4,30,0.0306,15.5274,108
latent_nn_s4,40,0.0243,15.5299,144
random,10,0.0079,15.7995,36
random,20,0.0004,15.7876,72
random,30,-0.0013,15.7921,108
random,40,0.0057,15.7707,144
shuf_score[s8],10,-0.0014,15.8753,36
shuf_score[s8],20,-0.0101,15.9113,72
shuf_score[s8],30,-0.0013,15.8762,108
shuf_score[s8],40,-0.0082,15.8613,144
shuf_label[s8],10,0.0203,15.8796,36
shuf_label[s8],20,0.0248,15.8895,72
shuf_label[s8],30,0.0146,15.8866,108
shuf_label[s8],40,0.0243,15.8298,144
