regime,tau_norm,score,raw_auroc,within_norm_auroc,n_bins_used,n_total,orientation,desc
fixed,,s1,0.5053,0.6086,5,1500,-1,"dot energy  -<f,x>  (de-confoundable)"
fixed,,s2,0.5480,0.5385,5,1500,-1,l2 energy  0.5||f||^2  (norm-coupled)
fixed,,s3,0.5678,0.6046,5,1500,1,"path integral  sum<f,dx>  (de-confoundable)"
fixed,,s4,0.5918,0.6267,5,1500,1,latent NN dist  (no f; label sanity)
fixed,,s5,0.5480,0.5385,5,1500,-1,post-step residual ||f||  (norm-coupled)
threshold,5.0,s1,0.5235,0.6146,5,1500,-1,"dot energy  -<f,x>  (de-confoundable)"
threshold,5.0,s2,0.5460,0.5525,5,1500,-1,l2 energy  0.5||f||^2  (norm-coupled)
threshold,5.0,s3,0.5678,0.6045,5,1500,1,"path integral  sum<f,dx>  (de-confoundable)"
threshold,5.0,s4,0.5918,0.6197,5,1500,1,latent NN dist  (no f; label sanity)
threshold,5.0,s5,0.5459,0.5413,5,1500,-1,post-step residual ||f||  (norm-coupled)
threshold,10.0,s1,0.5582,0.5622,5,1500,-1,"dot energy  -<f,x>  (de-confoundable)"
threshold,10.0,s2,0.5192,0.5330,5,1500,-1,l2 energy  0.5||f||^2  (norm-coupled)
threshold,10.0,s3,0.5679,0.5671,5,1500,1,"path integral  sum<f,dx>  (de-confoundable)"
threshold,10.0,s4,0.5918,0.5946,5,1500,1,latent NN dist  (no f; label sanity)
threshold,10.0,s5,0.5608,0.5823,5,1500,-1,post-step residual ||f||  (norm-coupled)
threshold,20.0,s1,0.5554,0.5567,5,1500,-1,"dot energy  -<f,x>  (de-confoundable)"
threshold,20.0,s2,0.5260,0.5323,5,1500,-1,l2 energy  0.5||f||^2  (norm-coupled)
threshold,20.0,s3,0.5681,0.5656,5,1500,1,"path integral  sum<f,dx>  (de-confoundable)"
threshold,20.0,s4,0.5918,0.5950,5,1500,1,latent NN dist  (no f; label sanity)
threshold,20.0,s5,0.5760,0.5987,5,1500,-1,post-step residual ||f||  (norm-coupled)
