feature,coef,abs_coef
norm_ds2,-2.0468,2.0468
dot_ds0,1.9638,1.9638
l2_ds4,1.8058,1.8058
dot_change,1.7291,1.7291
norm_ds1,-1.5974,1.5974
norm_ds4,1.4240,1.4240
dot_ds5,-1.2341,1.2341
late_norm_slope,-1.2133,1.2133
l2_ds2,-1.1899,1.1899
dot_ds3,1.1629,1.1629
l2_ds3,1.0786,1.0786
l2_ds1,-0.9309,0.9309
dot_ds6,-0.8923,0.8923
norm_oscillation,0.7574,0.7574
dot_ds1,0.6679,0.6679
dot_ds7,-0.6367,0.6367
l2_change,0.6106,0.6106
dot_ds8,-0.5855,0.5855
l2_ds0,0.5310,0.5310
norm_ds0,0.4997,0.4997
norm_ds3,0.4470,0.4470
l2_ds8,-0.4318,0.4318
norm_ds9,0.4184,0.4184
dot_ds9,-0.3941,0.3941
final_norm,-0.3628,0.3628
l2_ds7,-0.3581,0.3581
norm_ds15,-0.3445,0.3445
norm_ds10,0.3335,0.3335
norm_ds8,0.3326,0.3326
early_norm_slope,0.3233,0.3233
norm_ds7,0.2932,0.2932
dot_ds10,-0.2896,0.2896
l2_ds15,-0.2722,0.2722
final_l2,-0.2668,0.2668
l2_ds5,0.2624,0.2624
dot_ds2,0.2595,0.2595
dot_auc,0.2565,0.2565
norm_ds14,-0.2506,0.2506
final_dot,0.2371,0.2371
norm_ds5,0.2352,0.2352
l2_ds14,-0.2351,0.2351
norm_auc,-0.2222,0.2222
dot_ds11,-0.2115,0.2115
l2_auc,0.2008,0.2008
path_integral,0.2008,0.2008
l2_ds13,-0.1827,0.1827
norm_ds11,0.1812,0.1812
dot_ds15,0.1721,0.1721
l2_ds6,-0.1692,0.1692
dot_ds12,-0.1341,0.1341
norm_ds13,-0.1319,0.1319
l2_ds9,-0.1276,0.1276
norm_drop_ratio,-0.1258,0.1258
l2_ds12,-0.1167,0.1167
dot_ds4,0.0968,0.0968
norm_ds6,0.0756,0.0756
dot_ds14,0.0580,0.0580
l2_ds11,-0.0546,0.0546
dot_ds13,-0.0442,0.0442
l2_ds10,-0.0358,0.0358
norm_ds12,0.0159,0.0159
