method,k_pct,enrichment,mean_nn_kept,n_rejected
s1,10,0.0067,14.4950,150
s1,20,0.0117,14.4650,300
s1,30,0.0076,14.4986,450
s1,40,0.0056,14.5338,600
s2,10,0.0141,14.4443,150
s2,20,0.0192,14.4177,300
s2,30,0.0229,14.3822,450
s2,40,0.0233,14.3746,600
s3,10,0.0185,14.4022,150
s3,20,0.0275,14.3337,300
s3,30,0.0248,14.3342,450
s3,40,0.0378,14.2158,600
s5,10,0.0141,14.4443,150
s5,20,0.0192,14.4177,300
s5,30,0.0229,14.3822,450
s5,40,0.0233,14.3746,600
norm_only,10,-0.0059,14.6005,150
norm_only,20,-0.0108,14.6401,300
norm_only,30,-0.0124,14.6608,450
norm_only,40,-0.0222,14.7610,600
latent_nn_s4,10,0.0185,14.4076,150
latent_nn_s4,20,0.0258,14.3526,300
latent_nn_s4,30,0.0343,14.3104,450
latent_nn_s4,40,0.0522,14.1414,600
random,10,0.0007,14.5541,150
random,20,-0.0025,14.5556,300
random,30,-0.0029,14.5577,450
random,40,0.0011,14.4933,600
shuf_score[s3],10,-0.0044,14.5944,150
shuf_score[s3],20,-0.0125,14.6591,300
shuf_score[s3],30,-0.0133,14.6940,450
shuf_score[s3],40,-0.0144,14.7450,600
shuf_label[s3],10,0.0022,14.5041,150
shuf_label[s3],20,0.0050,14.5353,300
shuf_label[s3],30,0.0124,14.5764,450
shuf_label[s3],40,0.0233,14.6340,600
