run	model	dataset	epochs	lr	bs	mining	gamma	fid	num_fid_samples	job_id	status	timestamp
cifar_pilot_dganm	DG-ANM	CIFAR-10	1	5e-5	256	true	2.0	456.06	10000	2970679	completed	2026-04-01T08:07:09Z
cifar_pilot_vanilla	Vanilla EqM	CIFAR-10	1	5e-5	256	false	0.0	446.69	10000	2974180	completed	2026-04-01T08:45:00Z
cifar_test_vanilla_3ep	Vanilla EqM	CIFAR-10	3	1e-4	256	false	0.0	469.16	1000	3042519	completed	2026-04-01T15:30:00Z
cifar_test_dganm_3ep	DG-ANM	CIFAR-10	3	5e-5	256	true	2.0	452.31	1000	3043119	completed	2026-04-01T15:55:00Z
cifar_full_vanilla_80ep	Vanilla EqM	CIFAR-10	80	1e-4	256	false	0.0	497.55	50000	3053350	completed	2026-04-01T18:00:00Z
cifar_full_dganm_80ep	DG-ANM	CIFAR-10	80	5e-5	256	true	2.0	497.04	50000	3104472	completed	2026-04-02T00:00:00Z
in100_vanilla_1ep	Vanilla EqM-B/2	ImageNet-100	1	1e-4	16	false	0.0	297.61	10000	3300850	completed	2026-04-03T01:05:00Z
in100_dganm_1ep	DG-ANM EqM-B/2	ImageNet-100	1	1e-4	16	true	2.0	360.02	10000	3300849	completed	2026-04-03T01:05:00Z
in100_vanilla_80ep	Vanilla EqM-B/2	ImageNet-100	80	1e-4	256	false	0.0	121.24	10000	3300851	completed	2026-04-03T01:05:00Z
in100_dganm_80ep	DG-ANM EqM-B/2	ImageNet-100	80	1e-4	256	true	2.0	112.58	10000	3319818	completed	2026-04-03T04:00:00Z
cifar_seed_study_vanilla_s0	Vanilla EqM FM-UNet	CIFAR-10	150	2e-4	128	false	0.0	11.4568	10000	6821254_0	completed	2026-04-20T15:30:00Z
cifar_seed_study_vanilla_s1	Vanilla EqM FM-UNet	CIFAR-10	150	2e-4	128	false	0.0	13.7369	10000	6821254_1	completed	2026-04-20T15:30:00Z
cifar_seed_study_vanilla_s2	Vanilla EqM FM-UNet	CIFAR-10	150	2e-4	128	false	0.0	12.4183	10000	6821254_2	completed	2026-04-20T15:30:00Z
cifar_seed_study_dganm_m50_s0	DG-ANM m=50 FM-UNet	CIFAR-10	108	2e-4	128	true	6.0	42.4271	2000	6821254_3	timeout_e100	2026-04-20T18:30:00Z
cifar_seed_study_dganm_m50_s1	DG-ANM m=50 FM-UNet	CIFAR-10	108	2e-4	128	true	6.0	37.0563	2000	6821254_4	timeout_e100	2026-04-20T18:30:00Z
cifar_seed_study_dganm_m50_s2	DG-ANM m=50 FM-UNet	CIFAR-10	108	2e-4	128	true	6.0	52.0063	2000	6821254_5	timeout_e100	2026-04-20T18:30:00Z
