[W408 08:05:30.817441605 socket.cpp:767] [c10d] The client socket cannot be initialized to connect to [localhost]:30485 (errno: 97 - Address family not supported by protocol).
/n/home03/mkrasnow/.local/lib/python3.10/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
/n/home03/mkrasnow/.local/lib/python3.10/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
/n/home03/mkrasnow/.local/lib/python3.10/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
/n/home03/mkrasnow/.local/lib/python3.10/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
[W408 08:05:52.237826695 socket.cpp:767] [c10d] The client socket cannot be initialized to connect to [localhost]:30485 (errno: 97 - Address family not supported by protocol).
Found 4 GPUs, trying to use device index 0
[W408 08:05:52.240667321 socket.cpp:767] [c10d] The client socket cannot be initialized to connect to [localhost]:30485 (errno: 97 - Address family not supported by protocol).
Found 4 GPUs, trying to use device index 1
[W408 08:05:52.248951491 socket.cpp:767] [c10d] The client socket cannot be initialized to connect to [localhost]:30485 (errno: 97 - Address family not supported by protocol).
Found 4 GPUs, trying to use device index 3
[W408 08:05:52.251892655 socket.cpp:767] [c10d] The client socket cannot be initialized to connect to [localhost]:30485 (errno: 97 - Address family not supported by protocol).
Found 4 GPUs, trying to use device index 2
Starting rank=2, seed=2, world_size=4.
Starting rank=3, seed=3, world_size=4.
Starting rank=0, seed=0, world_size=4.
[[34m2026-04-08 08:05:53[0m] Experiment directory created at projects/diff-EqM/results/imagenet1k_80ep_vanilla/000-EqM-B-2-Linear-velocity-None-vanilla
[[34m2026-04-08 08:05:53[0m] DG-ANM mining: DISABLED
Starting rank=1, seed=1, world_size=4.
[[34m2026-04-08 08:05:55[0m] EqM Parameters: 130,512,416
[[34m2026-04-08 08:05:58[0m] Dataset contains 1,281,167 images (/n/holylabs/ydu_lab/Lab/raywang4/imagenet/train)
[[34m2026-04-08 08:05:58[0m] Training for 80 epochs...
[[34m2026-04-08 08:05:58[0m] Beginning epoch 0...
[[34m2026-04-08 08:06:44[0m] (step=0000100) Loss: 19.1614, Base: 19.1614, Steps/Sec: 2.16
[[34m2026-04-08 08:07:28[0m] (step=0000200) Loss: 14.6457, Base: 14.6457, Steps/Sec: 2.26
[[34m2026-04-08 08:08:12[0m] (step=0000300) Loss: 13.9972, Base: 13.9972, Steps/Sec: 2.26
[[34m2026-04-08 08:08:56[0m] (step=0000400) Loss: 13.5074, Base: 13.5074, Steps/Sec: 2.26
[[34m2026-04-08 08:09:41[0m] (step=0000500) Loss: 13.2961, Base: 13.2961, Steps/Sec: 2.26
[[34m2026-04-08 08:10:25[0m] (step=0000600) Loss: 13.0436, Base: 13.0436, Steps/Sec: 2.26
[[34m2026-04-08 08:11:09[0m] (step=0000700) Loss: 12.9140, Base: 12.9140, Steps/Sec: 2.26
[[34m2026-04-08 08:11:54[0m] (step=0000800) Loss: 12.7667, Base: 12.7667, Steps/Sec: 2.26
[[34m2026-04-08 08:12:38[0m] (step=0000900) Loss: 12.6522, Base: 12.6522, Steps/Sec: 2.26
[[34m2026-04-08 08:13:22[0m] (step=0001000) Loss: 12.6076, Base: 12.6076, Steps/Sec: 2.26
[[34m2026-04-08 08:14:06[0m] (step=0001100) Loss: 12.4734, Base: 12.4734, Steps/Sec: 2.26
[[34m2026-04-08 08:14:51[0m] (step=0001200) Loss: 12.4616, Base: 12.4616, Steps/Sec: 2.26
[[34m2026-04-08 08:15:35[0m] (step=0001300) Loss: 12.3375, Base: 12.3375, Steps/Sec: 2.26
[[34m2026-04-08 08:16:19[0m] (step=0001400) Loss: 12.2454, Base: 12.2454, Steps/Sec: 2.26
[[34m2026-04-08 08:17:03[0m] (step=0001500) Loss: 12.2271, Base: 12.2271, Steps/Sec: 2.26
[[34m2026-04-08 08:17:48[0m] (step=0001600) Loss: 12.1950, Base: 12.1950, Steps/Sec: 2.26
[[34m2026-04-08 08:18:32[0m] (step=0001700) Loss: 12.1609, Base: 12.1609, Steps/Sec: 2.26
[[34m2026-04-08 08:19:16[0m] (step=0001800) Loss: 12.0685, Base: 12.0685, Steps/Sec: 2.26
[[34m2026-04-08 08:20:01[0m] (step=0001900) Loss: 12.0702, Base: 12.0702, Steps/Sec: 2.26
[[34m2026-04-08 08:20:45[0m] (step=0002000) Loss: 12.0433, Base: 12.0433, Steps/Sec: 2.26
[[34m2026-04-08 08:21:29[0m] (step=0002100) Loss: 11.9613, Base: 11.9613, Steps/Sec: 2.26
[[34m2026-04-08 08:22:13[0m] (step=0002200) Loss: 11.9725, Base: 11.9725, Steps/Sec: 2.26
