sampler,nfe,step_mult,fid_vanilla,fid_anm,delta_fid,relative_delta_fid,kid_vanilla,kid_anm,delta_kid,anm_wins_fid,anm_wins_kid
gd,10,0.5,360.18142347141253,360.19979901863644,0.018375547223911326,5.101747626740052e-05,0.4192747803991133,0.4193056583069725,3.0877907859161446e-05,False,False
gd,10,1.0,358.3091681853882,358.38003448837514,0.07086630298692853,0.00019777976473731338,0.4154504854820254,0.4156022592219494,0.00015177373992397714,False,False
gd,10,1.5,363.7592708059793,363.93340427281686,0.17413346683753161,0.00047870523396339863,0.4262920514959192,0.4266131044079804,0.0003210529120611927,False,False
gd,10,2.0,382.0304044055844,382.2464210064385,0.21601660085406138,0.0005654434787465929,0.4625640171113307,0.4629777443930701,0.00041372728173938444,False,False
gd,25,0.5,360.20645068424346,360.36788059060336,0.16142990635989918,0.00044815939873716596,0.4192845647604044,0.4195886606995543,0.0003040959391499287,False,False
gd,25,1.0,391.80847899591777,392.2662523284256,0.45777333250782704,0.00116835994381989,0.4845380796352186,0.4854047160864679,0.0008666364512492919,False,False
gd,25,1.5,325.9062199454016,326.48028938746734,0.5740694420657633,0.0017614559248422322,0.383704377863985,0.38492491598415,0.0012205381201650378,False,False
gd,25,2.0,236.3675478024763,237.6636404548265,1.2960926523501826,0.005483378172680793,0.2566678951489362,0.258631705914994,0.0019638107660578386,False,False
gd,50,0.5,389.8806795043348,390.3533482621917,0.4726687578568658,0.0012123420900409364,0.4806860767877199,0.481761984208173,0.0010759074204531038,False,False
gd,50,1.0,222.81049024425053,223.7405420484919,0.9300518042413728,0.004174183195871192,0.2364398170205905,0.2377139474557803,0.001274130435189813,False,False
gd,50,1.5,68.00006805006518,65.34615418106068,-2.653913869004498,-0.03902810607557847,0.0558706434546365,0.0523116373756964,-0.003559006078940101,True,True
gd,50,2.0,49.60901950594695,47.13066418536994,-2.478355320577009,-0.0499577565785172,0.0389606672501691,0.0359152636513409,-0.0030454035988281974,True,True
gd,100,0.5,215.9035982588988,216.5688919071858,0.6652936482869904,0.003081438445917931,0.2264493396812178,0.227376319860693,0.0009269801794752064,False,False
gd,100,1.0,48.26938663888228,46.168506429932734,-2.1008802089495475,-0.04352407095343599,0.0372960340804556,0.0347064003436184,-0.0025896337368371963,True,True
gd,100,1.5,46.93468906083484,44.82400815435233,-2.1106809064825143,-0.04497059528287777,0.0358410897283748,0.0332134546774232,-0.0026276350509516003,True,True
gd,100,2.0,47.01306580670439,44.56057279864177,-2.4524930080626177,-0.05216620031006094,0.0359048910268362,0.0328467900772034,-0.003058100949632804,True,True
gd,250,0.5,46.51271606844063,44.60017360149243,-1.912542466948203,-0.04111870104798897,0.0352031669524328,0.03281057546693,-0.002392591485502797,True,True
gd,250,1.0,45.7159691227709,43.80906622722665,-1.906902895544249,-0.041711964815253806,0.0340881327480836,0.0316368052406469,-0.0024513275074367,True,True
gd,250,1.5,45.90954826777545,43.95973152518064,-1.9498167425948054,-0.04247083267345954,0.0340868129510353,0.0314410250630096,-0.0026457878880256983,True,True
gd,250,2.0,46.43418880306689,44.532273176122544,-1.9019156269443442,-0.0409593809210408,0.0343681519273618,0.0316977339988921,-0.0026704179284696983,True,True
ngd,10,0.5,360.14394518120093,360.1749877541092,0.031042572908290822,8.619490435323639e-05,0.4192049977544049,0.4192578585998625,5.286084545758074e-05,False,False
ngd,10,1.0,358.18012123273235,358.24236726808,0.06224603534764128,0.00017378417075021335,0.4151880475365012,0.4153226931257262,0.00013464558922499092,False,False
ngd,10,1.5,363.2450210462144,363.42819742404254,0.183176377828147,0.0005042777387576142,0.42527159126109,0.4256138466740312,0.00034225541294119477,False,False
ngd,10,2.0,380.7974350766059,381.019667623118,0.2222325465120889,0.000583597803035049,0.4600091808527485,0.4604294852426074,0.0004203043898589054,False,False
ngd,25,0.5,360.06819601977304,360.2183407319141,0.1501447121410706,0.00041698965307345685,0.4190001588927629,0.4192881959386313,0.0002880370458684389,False,False
ngd,25,1.0,390.8758055913588,391.3224211770848,0.44661558572596505,0.0011426022775962742,0.4823272642717044,0.4832425611025659,0.0009152968308615006,False,False
ngd,25,1.5,323.1403806682314,323.8046480637375,0.6642673955061014,0.0020556619823633416,0.3779686701675831,0.3791968598718097,0.0012281897042265566,False,False
ngd,25,2.0,230.30274299048304,231.43547155605208,1.132728565569039,0.004918432802234784,0.2471256891111238,0.2487824498708586,0.00165676075973481,False,False
ngd,50,0.5,389.34268108914654,389.8288786689717,0.4861975798251592,0.001248765171249838,0.4794447649346485,0.480512799750981,0.001068034816332497,False,False
